OrderNum,Product
1000,eggs
1001,bread
1002,eggs
1002,bread
1002,flour
1003,eggs
1003,jam
1003,bread
1004,eggs
1005,jam
1005,bread
1006,eggs
1006,cheese
1006,jam
1006,flour
1007,eggs
1008,cheese
1008,jam
1009,bread
1010,eggs
1010,jam
1011,jam
1011,flour
1012,flour
1013,eggs
1013,bread
1014,eggs
1014,bread
1014,flour
1014,jam
1015,eggs
1016,cheese
1017,bread
1018,eggs
1018,jam
1018,bread
1019,eggs
1019,jam
1019,bread
1020,bread
1021,eggs
1021,cheese
1021,jam
1021,bread
1022,bread
1023,jam
1024,eggs
1024,cheese
1024,jam
1025,jam
1025,bread
1026,jam
1026,bread
1027,jam
1027,bread
1028,bread
1029,eggs
1029,jam
1029,bread
1030,bread
1030,flour
1031,eggs
1031,bread
1032,cheese
1032,bread
1033,eggs
1033,bread
1034,eggs
1034,jam
1034,bread
1035,eggs
1035,bread
1036,jam
1036,bread
1036,flour
1037,cheese
1037,bread
1038,jam
1039,bread
1040,eggs
1041,jam
1042,eggs
1042,cheese
1043,jam
1044,jam
1044,bread
1045,eggs
1045,bread
1046,jam
1046,flour
1047,eggs
1047,jam
1047,bread
1048,bread
1049,cheese
1049,bread
1050,eggs
1050,cheese
1050,jam
1051,cheese
1051,bread
1052,eggs
1052,jam
1052,bread
1052,flour
1053,eggs
1054,eggs
1054,bread
1055,eggs
1055,bread
1056,jam
1056,bread
1056,flour
1057,bread
1057,cheese
1057,jam
1057,flour
1058,eggs
1059,eggs
1059,jam
1059,bread
1060,eggs
1060,bread
1061,eggs
1061,bread
1062,eggs
1062,jam
1062,bread
1063,eggs
1064,eggs
1064,cheese
1064,bread
1065,eggs
1065,cheese
1065,bread
1066,bread
1067,eggs
1067,jam
1068,eggs
1068,bread
1069,jam
1069,bread
1069,flour
1070,bread
1070,flour
1071,eggs
1071,jam
1071,bread
1072,eggs
1072,flour
1073,eggs
1073,jam
1073,bread
1073,flour
1074,eggs
1075,cheese
1075,jam
1075,bread
1076,cheese
1076,jam
1076,bread
1076,flour
1077,bread
1078,jam
1078,bread
1079,eggs
1079,jam
1079,bread
1079,flour
1080,eggs
1080,cheese
1080,jam
1080,flour
1081,bread
1082,bread
1083,jam
1083,flour
1084,eggs
1084,jam
1084,bread
1085,eggs
1085,jam
1086,eggs
1086,jam
1087,cheese
1087,bread
1088,eggs
1088,bread
1088,flour
1089,eggs
1089,cheese
1089,jam
1090,cheese
1090,jam
1091,bread
1092,eggs
1092,jam
1092,bread
1093,eggs
1093,bread
1094,eggs
1094,jam
1094,bread
1095,jam
1095,bread
1096,bread
1097,cheese
1097,bread
1098,eggs
1098,jam
1098,bread
1099,bread
1099,cheese
1099,jam
1099,flour
1100,eggs
1100,bread
1101,eggs
1101,jam
1101,flour
1102,jam
1102,bread
1103,jam
1103,bread
1104,cheese
1104,bread
1104,flour
1105,bread
1105,jam
1105,eggs
1105,flour
1106,jam
1107,eggs
1107,cheese
1107,bread
1108,eggs
1108,cheese
1108,bread
1109,flour
1110,eggs
1110,bread
1110,flour
1111,eggs
1111,bread
1112,jam
1112,bread
1113,jam
1114,eggs
1114,cheese
1115,bread
1116,bread
1117,eggs
1117,cheese
1117,bread
1118,eggs
1118,jam
1119,bread
1120,eggs
1120,cheese
1120,jam
1120,flour
1121,jam
1121,flour
1122,eggs
1122,jam
1122,flour
1123,cheese
1123,bread
1123,flour
1124,jam
1124,bread
1124,flour
1125,eggs
1125,bread
1126,eggs
1126,jam
1126,bread
1127,cheese
1128,eggs
1128,jam
1128,bread
1129,eggs
1129,flour
1130,cheese
1130,jam
1130,bread
1131,cheese
1131,bread
1132,eggs
1132,bread
1132,flour
1133,flour
1134,cheese
1134,jam
1135,eggs
1136,cheese
1136,bread
1136,flour
1137,eggs
1137,jam
1138,eggs
1138,jam
1138,bread
1139,eggs
1140,eggs
1140,bread
1140,flour
1141,eggs
1141,bread
1141,flour
1142,bread
1142,flour
1143,flour
1144,bread
1145,eggs
1145,jam
1145,flour
1146,cheese
1146,jam
1147,eggs
1147,jam
1148,cheese
1148,jam
1149,bread
1149,flour
1150,eggs
1150,bread
1151,flour
1152,jam
1153,eggs
1153,cheese
1153,jam
1153,bread
1154,eggs
1155,eggs
1155,jam
1156,jam
1156,bread
1157,eggs
1157,jam
1157,bread
1158,bread
1159,bread
1160,bread
1160,jam
1160,flour
1161,bread
1162,cheese
1162,bread
1163,eggs
1164,jam
1164,bread
1165,cheese
1165,bread
1166,bread
1166,flour
1167,bread
1168,jam
1168,bread
1169,bread
1170,bread
1171,eggs
1171,jam
1171,bread
1172,jam
1173,eggs
1173,jam
1173,bread
1174,eggs
1174,cheese
1175,eggs
1176,jam
1176,bread
1176,flour
1177,bread
1178,eggs
1178,jam
1178,flour
1179,cheese
1179,bread
1180,bread
1181,jam
1181,bread
1181,flour
1182,bread
1182,flour
1183,eggs
1183,cheese
1183,bread
1184,cheese
1184,jam
1184,bread
1185,jam
1186,eggs
1186,cheese
1186,bread
1187,eggs
1187,cheese
1187,flour
1188,bread
1189,bread
1190,eggs
1190,cheese
1190,jam
1190,flour
1191,eggs
1191,flour
1192,eggs
1192,jam
1192,bread
1193,jam
1194,jam
1194,bread
1195,eggs
1195,bread
1196,eggs
1197,eggs
1197,bread
1198,jam
1198,bread
1199,jam
1199,bread
1200,eggs
1200,bread
1201,eggs
1202,jam
1203,bread
1204,jam
1204,bread
1205,bread
1206,eggs
1207,eggs
1207,flour
1208,eggs
1208,jam
1208,bread
1209,jam
1209,bread
1210,jam
1210,bread
1210,flour
1211,jam
1211,bread
1211,flour
1212,eggs
1212,bread
1213,bread
1214,eggs
1214,bread
1215,cheese
1215,jam
1215,bread
1216,eggs
1216,jam
1216,bread
1217,jam
1218,eggs
1218,jam
1218,flour
1219,bread
1219,flour
1220,eggs
1221,cheese
1222,cheese
1222,bread
1222,flour
1223,cheese
1223,jam
1223,bread
1224,jam
1224,bread
1225,bread
1226,jam
1226,bread
1227,cheese
1227,jam
1228,eggs
1228,cheese
1228,jam
1228,flour
1229,jam
1230,cheese
1230,jam
1230,bread
1231,eggs
1231,jam
1232,jam
1232,bread
1233,eggs
1233,bread
1233,flour
1234,cheese
1235,jam
1235,bread
1236,eggs
1236,flour
1237,jam
1238,eggs
1238,jam
1238,bread
1238,flour
1239,cheese
1240,eggs
1240,cheese
1241,jam
1241,bread
1242,cheese
1242,bread
1242,flour
1243,cheese
1243,bread
1244,cheese
1244,bread
1245,eggs
1246,jam
1246,bread
1247,cheese
1247,bread
1248,jam
1249,eggs
1249,cheese
1249,jam
1250,eggs
1250,bread
1251,eggs
1251,cheese
1252,eggs
1252,jam
1252,bread
1253,jam
1253,bread
1254,eggs
1254,bread
1254,flour
1255,eggs
1255,bread
1256,eggs
1256,cheese
1256,jam
1256,bread
1257,eggs
1257,cheese
1257,bread
1258,bread
1259,cheese
1259,jam
1259,bread
1260,jam
1260,bread
1261,cheese
1261,bread
1262,eggs
1262,jam
1262,bread
1263,eggs
1263,jam
1263,bread
1264,jam
1264,bread
1265,eggs
1265,cheese
1266,jam
1266,bread
1267,eggs
1267,jam
1267,bread
1268,jam
1268,bread
1269,jam
1270,eggs
1270,jam
1270,bread
1271,eggs
1271,bread
1271,flour
1272,jam
1272,bread
1273,eggs
1273,jam
1274,eggs
1274,bread
1274,flour
1275,eggs
1275,bread
1276,bread
1277,eggs
1277,jam
1277,bread
1278,eggs
1278,jam
1278,bread
1279,jam
1279,bread
1280,jam
1280,bread
1280,flour
1281,eggs
1281,bread
1282,cheese
1282,jam
1282,bread
1283,jam
1283,bread
1284,eggs
1284,cheese
1284,jam
1285,eggs
1285,jam
1285,bread
1285,flour
1286,flour
1287,eggs
1287,bread
1288,jam
1288,bread
1289,eggs
1289,jam
1290,cheese
1291,eggs
1291,bread
1291,flour
1292,eggs
1292,bread
1293,bread
1294,cheese
1294,flour
1295,bread
1296,eggs
1296,bread
1297,cheese
1297,eggs
1297,bread
1297,flour
1297,jam
1298,cheese
1298,jam
1298,bread
1298,flour
1299,eggs
1299,cheese
1299,bread
1300,eggs
1300,jam
1300,bread
1301,jam
1301,bread
1301,flour
1302,cheese
1302,jam
1302,bread
1303,bread
1303,flour
1304,eggs
1304,jam
1304,bread
1305,eggs
1305,jam
1305,flour
1306,jam
1306,bread
1307,jam
1307,bread
1308,eggs
1308,jam
1308,bread
1309,eggs
1309,bread
1309,flour
1309,jam
1310,flour
1311,jam
1311,bread
1312,jam
1312,bread
1313,bread
1314,eggs
1314,jam
1314,bread
1314,flour
1315,eggs
1315,bread
1316,eggs
1316,bread
1317,bread
1318,bread
1318,flour
1319,bread
1319,jam
1319,flour
1320,eggs
